id,name,orig_name
306,ANAND BHOGH KAJU KATLI,ANAND BHOGH KAJU KATLI
307,JIVA ORGANICS CUMIN POWDER,JIVA ORGANICS CUMIN POWDER
308,DR OETKER SAKIZLI MUHALLEBI,DR OETKER SAKIZLI MUHALLEBI
309,ANAND FARALI CHIWDA TIKHA,ANAND FARALI CHIWDA TIKHA
310,IBCO BRAND BANGLADESHI BLACK BERRY,IBCO BRAND BANGLADESHI BLACK BERRY
311,ALL NATURAL LEGENDARY BEE HONEY,ALL NATURAL LEGENDARY BEE HONEY
312,HEMANI KULFI FALOODA DRINK,HEMANI KULFI FALOODA DRINK
313,HALDIRAMS,HALDIRAMS
314,COCA COLA,COCA COLA
315,DALDA BANASPATI VEG GHEE  8357,DALDA BANASPATI VEG GHEE  8357
316,INDIAN HILLS PONNI BOILED RICE,INDIAN HILLS PONNI BOILED RICE
317,GURUJI KESARI THANDAI,GURUJI KESARI THANDAI
318,ABRUZZO GRAPE SEED OIL,ABRUZZO GRAPE SEED OIL
319,FRESCO SHAKKAR PARA,FRESCO SHAKKAR PARA
320,DEEP RAGI CORIANDER CHILI KHAKHARA,DEEP RAGI CORIANDER CHILI KHAKHARA
321,BHAVANI PEANUT LADOO,BHAVANI PEANUT LADOO
322,INTERNATIONAL HAZELNUT DELIGHT,INTERNATIONAL HAZELNUT DELIGHT
323,GARVI GUJARAT SANDWICH DHOKLA,GARVI GUJARAT SANDWICH DHOKLA
324,JOHNSONS BABY OIL,JOHNSONS BABY OIL
325,CAMLICA,CAMLICA
326,AHMED QUORMA  MEAT MASALA,AHMED QUORMA  MEAT MASALA
327,BOSC PEAR,BOSC PEAR
328,CAGE FREE ORG BROWN JUMBO EGGS,CAGE FREE ORG BROWN JUMBO EGGS
329,GRAPEOLA GRAPE SEED OIL,GRAPEOLA GRAPE SEED OIL
330,BIKANO BESAN LADDU,BIKANO BESAN LADDU
331,BARILLA ROTINI,BARILLA ROTINI
332,CHANDAN ABAJPATI GOLI,CHANDAN ABAJPATI GOLI
333,AS SALAAM BEEF BURGERS,AS SALAAM BEEF BURGERS
334,GALIL ORGANIC BLOSSOM HONEY 135-100,GALIL ORGANIC BLOSSOM HONEY 135-100
335,HAWKINS VALVE,HAWKINS VALVE
336,BADSHAH CURRY MASALA,BADSHAH CURRY MASALA
337,IBCO VEGETABLE SPRING ROLL 10098,IBCO VEGETABLE SPRING ROLL 10098
338,HESH UBTAN POWER,HESH UBTAN POWER
339,BANSI KOLHAPURI MURMURA,BANSI KOLHAPURI MURMURA
340,DESI NATURAL DAHI WHOLE MILK,DESI NATURAL DAHI WHOLE MILK
341,BLUE MOUNTAIN CURRY POWER MILD,BLUE MOUNTAIN CURRY POWER MILD
342,CHAAKRI NACHNI KHAKHRA,CHAAKRI NACHNI KHAKHRA
343,KHAZANA BASMATI RICE BLUE BAG,KHAZANA BASMATI RICE BLUE BAG
344,JAMAICAN PRIDE CURRY POWDER,JAMAICAN PRIDE CURRY POWDER
345,HERITAGE  LAVENDER INCENSE,HERITAGE  LAVENDER INCENSE
346,ELEGANT ESSENTIAL ROLLS,ELEGANT ESSENTIAL ROLLS
347,GRILL CHEESE,GRILL CHEESE
348,JABSONS TANDOORI  ROASTED PEANUTS,JABSONS TANDOORI  ROASTED PEANUTS
349,JOY SPRING ROLL 12 PCS,JOY SPRING ROLL 12 PCS
350,ECONUTRENA ORGANIC COCONUT MILK,ECONUTRENA ORGANIC COCONUT MILK
351,FARMLAND 2 PERCENT  MILK,FARMLAND 2 PERCENT  MILK
352,GRANDMA GARLIC PICKLE,GRANDMA GARLIC PICKLE
353,ALU BUKHARA,ALU BUKHARA
354,KCB PUNJABI GUR BISCUITS,KCB PUNJABI GUR BISCUITS
355,BANSI PURI FOR BHEL   121S,BANSI PURI FOR BHEL   121S
356,EGG LANDS BEST LARGE GRADE A,EGG LANDS BEST LARGE GRADE A
357,CARROT BUNCH,CARROT BUNCH
358,DEER BASIL SEED DRINK ROSE,DEER BASIL SEED DRINK ROSE
359,AHMED TANDOORI MASALA,AHMED TANDOORI MASALA
360,BADAM LACHHA,BADAM LACHHA
361,BAIDYANATH UNPILE,BAIDYANATH UNPILE
362,AHMED TURMERIC POWDER,AHMED TURMERIC POWDER
363,GARDEN VEG BURGER,GARDEN VEG BURGER
364,GARVI GUJARAT UNDHIYU,GARVI GUJARAT UNDHIYU
365,BOLTHOUSE FARMS AMAZING MANGO,BOLTHOUSE FARMS AMAZING MANGO
366,DEER GREEN CHANA,DEER GREEN CHANA
367,I DOLCI AMORELLI PUFF PASTRY,I DOLCI AMORELLI PUFF PASTRY
368,GESAS GRAPE MOLASSES,GESAS GRAPE MOLASSES
369,EASTERN GOOSEBERRY PICKLE,EASTERN GOOSEBERRY PICKLE
370,DEER BARLEY PEARLED,DEER BARLEY PEARLED
371,ICIM LABNEH CHEESE,ICIM LABNEH CHEESE
372,DEEP MILK CAKE,DEEP MILK CAKE
373,DEEP KESAR MANGO PLUP,DEEP KESAR MANGO PLUP
374,BLEACH LEMON SCENT,BLEACH LEMON SCENT
